county_id,ba,nercregion
291,p117,PJMW
292,p98,PJMD
293,p79,MISW
294,p37,MISW
295,p86,MISS
296,p38,SPPN
297,p94,SRSE
298,p84,MISC
299,p94,SRSE
301,p17,NWPP
302,p43,MISW
303,p94,SRSE
304,p73,MISC
305,p45,MISW
306,p103,MISE
307,p40,SPPN
308,p37,SPPN
309,p112,PJMW
310,p43,SPPN
311,p112,PJMW
312,p99,PJMD
313,p107,MISC
314,p122,PJME
315,p58,SPPS
316,p105,PJMW
317,p51,SPPS
318,p46,MISW
319,p83,MISC
320,p88,MISS
321,p55,SPPC
322,p36,SPPN
323,p32,RMRG
324,p103,MISE
325,p37,SPPN
326,p74,MISW
327,p89,SRSE
328,p50,SPPS
329,p65,TRE
330,p76,MISW
331,p113,PJMW
332,p18,NWPP
333,p15,BASN
334,p107,MISC
335,p94,SRSE
336,p43,SPPN
337,p50,SPPS
338,p109,SRCE
339,p92,SRCE
340,p83,MISC
341,p105,PJMW
342,p44,SPPN
343,p15,NWPP
344,p80,PJMC
345,p48,SPPS
346,p64,TRE
347,p45,MISW
348,p94,SRSE
349,p58,SPPS
350,p80,MISW
351,p65,TRE
352,p94,SRSE
353,p69,MISW
354,p90,SRSE
355,p21,BASN
356,p48,SPPS
357,p64,TRE
358,p24,BASN
359,p25,BASN
360,p98,SRCA
361,p92,SRCE
362,p43,MISW
363,p105,MISC
364,p118,PJMW
365,p89,SRSE
367,p43,MISW
368,p55,SPPC
369,p105,MISC
370,p126,PJME
371,p45,SPPN
372,p52,SPPC
373,p93,SRCE
374,p66,TRE
375,p62,TRE
376,p122,PJME
377,p42,MISW
378,p43,MISW
379,p31,SRSG
380,p73,MISC
381,p71,MISC
382,p105,PJMW
383,p40,SPPN
384,p66,MISS
385,p93,SRCE
386,p90,SRSE
387,p105,MISC
388,p79,MISW
389,p36,SPPN
390,p94,SRSE
391,p103,MISE
392,p61,TRE
393,p95,SRCA
394,p131,ISNE
395,p89,SRCE
396,p65,TRE
397,p72,MISC
398,p97,SRCA
399,p85,SPPS
400,p53,SPPC
401,p91,SRSE
402,p25,BASN
403,p88,SRCE
404,p97,SRCA
405,p97,SRCA
406,p43,MISW
407,p112,PJMW
408,p48,SPPS
409,p101,FRCC
410,p123,PJMW
411,p42,MISW
412,p94,SRCE
413,p103,MISE
414,p68,MISW
415,p70,MISW
416,p101,FRCC
417,p34,RMRG
418,p109,SRCE
419,p19,MISW
420,p46,MISW
421,p45,MISW
422,p111,PJMW
423,p122,PJME
424,p111,PJMW
425,p122,PJME
426,p104,PJMW
427,p43,MISW
428,p98,SRCA
429,p53,SPPC
430,p63,TRE
431,p90,SRSE
432,p44,MISW
433,p88,SRCE
434,p84,MISC
435,p116,PJMW
436,p107,MISC
437,p129,ISNE
438,p53,SPPC
439,p92,SRCE
440,p48,SPPS
441,p112,PJMW
442,p92,SRCE
443,p46,MISW
444,p56,SPPS
445,p116,PJMW
446,p70,MISW
447,p72,MISC
448,p106,MISC
449,p55,SPPC
450,p40,SPPN
451,p99,PJMD
452,p6,NWPP
453,p53,SPPC
454,p109,SRCE
455,p76,MISW
456,p99,PJMD
457,p41,SPPN
458,p2,NWPP
459,p70,MISW
460,p7,NWPP
461,p61,TRE
462,p96,SRCA
463,p118,PJMW
464,p40,SPPN
465,p94,SRSE
466,p105,PJMW
467,p124,PJME
468,p31,SRSG
469,p107,MISC
470,p72,MISC
471,p40,SPPN
472,p89,SRSE
473,p61,TRE
474,p46,MISW
475,p52,SPPC
476,p107,MISC
477,p88,SRCE
478,p99,PJMD
479,p131,ISNE
480,p48,SPPS
481,p92,SRCE
482,p17,NWPP
483,p93,SRCE
484,p33,RMRG
485,p92,SRCE
486,p1,NWPP
487,p85,MISS
488,p75,MISW
489,p85,MISS
490,p70,MISW
491,p99,PJMD
492,p88,SRSE
493,p68,MISW
494,p43,MISW
495,p34,RMRG
496,p116,PJMW
497,p53,SPPC
498,p80,PJMC
499,p98,SRCA
500,p42,MISW
501,p83,MISC
503,p66,TRE
504,p40,SPPN
505,p111,PJMW
506,p53,SPPC
507,p15,BASN
508,p101,FRCC
509,p94,SRSE
510,p94,SRSE
511,p60,TRE
512,p43,MISW
513,p58,SPPS
514,p58,MISS
515,p85,MISS
516,p91,SRSE
517,p60,TRE
518,p96,SRCA
519,p99,PJMD
520,p46,MISW
521,p98,PJMD
522,p53,SPPC
523,p18,NWPP
524,p81,MISC
525,p81,MISC
526,p53,SPPC
527,p83,MISC
528,p99,PJMD
529,p35,SPPN
530,p15,BASN
531,p92,SRCE
532,p112,PJMW
533,p101,FRCC
534,p39,RMRG
535,p60,TRE
536,p48,SPPS
537,p48,SPPS
538,p127,NYUP
539,p48,SPPS
540,p55,SPPC
541,p26,BASN
542,p25,BASN
543,p81,MISC
544,p21,BASN
545,p97,SRCA
546,p127,NYUP
547,p125,PJME
548,p87,MISS
549,p93,SRCE
550,p80,PJMC
551,p116,PJMW
552,p107,MISC
553,p109,PJMW
554,p70,MISW
555,p96,SRCA
556,p99,PJMD
557,p109,SRCE
558,p100,PJMW
559,p92,SRCE
560,p89,SRCE
561,p110,SRCE
562,p70,MISW
563,p127,NYUP
564,p81,MISC
565,p91,SRSE
566,p63,TRE
567,p93,SRCE
568,p81,MISC
569,p107,MISC
570,p97,SRCA
571,p94,SRSE
572,p107,MISC
573,p45,SPPN
574,p65,TRE
575,p28,SRSG
576,p64,TRE
577,p90,SRSE
578,p33,RMRG
579,p112,PJMW
580,p105,PJMW
581,p87,MISS
582,p102,FRCC
583,p108,SRCE
584,p9,CANO
585,p63,TRE
586,p112,PJMW
587,p9,CANO
588,p41,SPPN
589,p5,NWPP
590,p77,MISW
591,p107,MISC
592,p116,PJMW
593,p84,MISC
594,p53,SPPC
595,p116,PJMW
596,p113,PJMW
597,p19,NWPP
598,p120,PJMW
599,p33,RMRG
600,p16,BASN
601,p122,PJME
602,p112,PJMW
603,p94,SRSE
604,p34,RMRG
605,p81,MISC
606,p3,NWPP
607,p101,FRCC
608,p40,SPPN
609,p2,NWPP
610,p37,SPPN
611,p94,SRSE
612,p103,MISE
613,p54,SPPC
614,p64,TRE
615,p92,SRCE
616,p132,ISNE
617,p60,TRE
618,p42,MISW
619,p109,SRCE
620,p108,SRCE
621,p17,NWPP
622,p45,SPPN
623,p46,MISW
624,p3,NWPP
625,p122,PJME
626,p94,SRSE
627,p96,SRCA
628,p92,SRCE
629,p33,RMRG
630,p61,TRE
631,p89,SRSE
632,p60,TRE
633,p61,TRE
634,p94,SRSE
635,p114,PJMW
636,p31,SRSG
637,p92,SRCE
638,p109,SRCE
639,p38,SPPN
640,p38,SPPN
641,p127,NYUP
643,p108,SRCE
644,p105,MISC
645,p45,SPPN
646,p48,SPPS
647,p50,SPPS
648,p94,SRSE
649,p38,SPPN
650,p103,MISE
651,p66,MISS
652,p60,TRE
653,p36,SPPN
654,p99,PJMD
655,p38,SPPN
656,p127,NYUP
657,p65,TRE
658,p89,SRSE
659,p40,SPPN
660,p126,PJME
661,p83,MISC
662,p50,SPPS
663,p42,MISW
664,p50,SPPS
665,p93,SRCE
666,p18,NWPP
667,p50,SPPS
668,p103,MISE
669,p72,MISC
670,p53,SPPC
671,p94,SRSE
672,p92,SRCE
673,p72,MISC
674,p76,MISW
675,p94,SRSE
676,p54,SPPC
677,p117,PJMW
678,p134,ISNE
679,p58,MISS
680,p33,RMRG
681,p58,MISS
682,p43,MISW
683,p38,SPPN
684,p94,SRSE
685,p34,RMRG
686,p60,TRE
687,p63,TRE
688,p127,NYUP
689,p107,MISC
690,p40,SPPN
691,p5,NWPP
692,p87,MISS
693,p103,MISE
694,p94,SRSE
695,p118,PJMD
697,p34,RMRG
698,p89,SRSE
699,p70,MISW
700,p36,SPPN
701,p90,SRSE
702,p37,SPPN
703,p109,SRCE
704,p87,SRSE
705,p58,SPPS
706,p56,SPPS
707,p85,MISS
708,p94,SRSE
709,p96,SRCA
710,p101,FRCC
711,p90,SRSE
712,p21,BASN
713,p96,SRCA
714,p111,PJMW
715,p33,RMRG
716,p64,TRE
717,p94,SRSE
718,p74,MISW
719,p44,SPPN
720,p64,TRE
721,p50,SPPS
722,p53,SPPC
723,p92,SRCE
724,p96,SRCA
725,p70,MISW
726,p87,SRSE
727,p36,SPPN
728,p109,SRCE
729,p30,SRSG
730,p15,BASN
731,p28,SRSG
732,p99,PJMD
733,p38,SPPN
734,p63,TRE
735,p73,MISC
736,p67,TRE
737,p107,MISC
738,p49,SPPS
739,p5,NWPP
740,p63,TRE
741,p40,SPPN
742,p45,MISW
743,p83,MISC
744,p104,PJMW
745,p15,BASN
746,p92,SRCE
747,p9,CANO
748,p93,SRCE
749,p109,SRCE
750,p91,SRSE
751,p9,CANO
752,p65,TRE
753,p122,PJME
754,p117,PJMW
755,p55,SPPC
756,p12,BASN
757,p99,PJMD
758,p109,SRCE
759,p35,SPPN
760,p116,PJMW
761,p92,SRCE
762,p48,SPPS
763,p50,SPPS
764,p6,NWPP
765,p39,RMRG
766,p2,NWPP
767,p44,SPPN
768,p64,TRE
769,p127,NYUP
770,p107,MISC
771,p81,MISC
772,p16,BASN
773,p17,NWPP
774,p130,ISNE
775,p63,TRE
776,p103,MISE
777,p88,SRCE
778,p51,SPPS
779,p25,BASN
780,p50,SPPS
781,p58,MISS
782,p73,MISC
783,p129,ISNE
784,p109,SRCE
785,p20,NWPP
786,p96,SRCA
787,p112,PJMW
788,p81,MISC
789,p53,SPPC
790,p63,MISS
791,p38,SPPN
792,p53,SPPC
793,p97,SRCA
794,p50,SPPS
795,p90,SRSE
796,p83,MISC
797,p53,SPPC
798,p109,SRCE
799,p81,MISC
800,p45,SPPN
