ba,year,elec_price_res,elec_price_com,elec_price_ind,elec_price_trans,nerc_region_abbr,scenario
p1,2014,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2015,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2016,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2017,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2018,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2019,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2020,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2021,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2022,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2023,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2024,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2025,0.1644734,0.14450288,0.11034854,0.13950113,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2026,0.12871067,0.10699141,0.07313989,0.1027529,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2027,0.11437612,0.09283682,0.06402429999999999,0.0874026,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2028,0.11304961000000001,0.09084234000000001,0.06183959,0.08526423,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2029,0.11461611,0.09137157,0.062637,0.08572478,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2030,0.11784245,0.09342599,0.06444578,0.08775105,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2031,0.12220007000000001,0.09639869,0.06703897,0.09057480999999999,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2032,0.1270209,0.09975806000000001,0.07021111000000001,0.09414,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2033,0.13166432,0.10273678,0.07305621000000001,0.09708285999999999,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2034,0.13576644999999998,0.10503251000000001,0.07505418999999999,0.09943811,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2035,0.139177,0.10679688000000001,0.07671722,0.10126974000000001,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2036,0.14323912,0.1092839,0.07883551,0.10367236,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2037,0.14743763,0.11187013,0.080749,0.10615593000000001,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2038,0.15118889,0.11390375999999999,0.08207350999999999,0.10808226,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2039,0.15586286,0.11693623,0.08472626999999999,0.11105577,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2040,0.15935307999999998,0.11839117999999998,0.08555119,0.11256137000000001,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2041,0.16283456999999998,0.11989292000000001,0.08669717,0.1139466,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2042,0.16693096000000002,0.12223476,0.08863548,0.11617369,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2043,0.1705825,0.12412077,0.08998524,0.11791874,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2044,0.17481892,0.1265953,0.09205126,0.12027159,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2045,0.17912579,0.12902933,0.09384436000000002,0.12260101000000001,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2046,0.18320276,0.13112983,0.09534681,0.12461246,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2047,0.18987816,0.13599016,0.09963958999999999,0.12912777,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2048,0.19899059000000002,0.1429248,0.10554946,0.13596686,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2049,0.20646889000000002,0.14776861,0.10914046000000001,0.14083117,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2050,0.21509485,0.1542317,0.1146747,0.14692936,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2014,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2015,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2016,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2017,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2018,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2019,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2020,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2021,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2022,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2023,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2024,0.17341297,0.15698091,0.12188655000000001,0.14996902,NWPP,AEO2025 High Zero-Carbon Technology Cost
p2,2025,0.1644734,0.14450288,0.11034854,0.13950113,NWPP,AEO2025 High Zero-Carbon Technology Cost
